"Gender";"Birth_Year";"NumberOfVictims";"AgeAtFirstCrime";"AgeAtLastCrime";"HasFemaleVictim";"HasMaleVictim";"GenderCrossover";"HasChildUnderSixVictim";"HasPrePubescentVictim";"HasPubescentVictim";"HasPostPubescentVictim";"HasAdultVictim";"AgeCrossover";"NonAdjacentAgeCrossover";"YoungestVictim";"HasInjuredVictim";"HasFamilyVictim";"HasAcquaintanceVictim";"HasStrangerVictim";"RelationshipCrossover"
"MALE";"1968";2;44;44;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1970";2;26;28;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1981";2;39;39;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1996";4;19;19;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1983";2;34;34;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1982";5;38;38;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1982";2;18;18;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1961";2;38;48;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1996";3;19;19;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1967";2;34;35;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;FALSE;TRUE;FALSE
"MALE";"1974";2;40;45;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1987";3;22;25;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;FALSE;TRUE;TRUE;TRUE
"MALE";"1986";2;29;30;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1963";4;36;39;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1972";2;48;50;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1966";2;48;48;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1974";2;46;46;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1964";2;29;39;FALSE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1992";3;18;18;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1980";7;29;29;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;"Prepubescent";FALSE;FALSE;FALSE;TRUE;FALSE
"MALE";"1963";3;45;52;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1978";2;31;31;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;"Postpubescent";FALSE;TRUE;FALSE;FALSE;FALSE
"MALE";"1958";3;64;64;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;"Pubescent";FALSE;FALSE;TRUE;FALSE;FALSE
"MALE";"1955";2;58;59;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;"Prepubescent";FALSE;FALSE;FALSE;FALSE;FALSE
